episode_index,task_index,length,file,score_total,legacy_score_total,score_detection_quality,score_data_value,score_engineering_reliability,scoring_version,data_value_reasons,engineering_reliability_reasons,score_structural,score_vision_single,score_vision_vision,score_state,score_temporal,score_cross_modal,soft_penalty_total,soft_penalties,finding_count,critical_count,high_confidence_count,suspicious_count,ood_count,geometry_status,geometry_reason,geometry_module_statuses,phase_status,phase_reason,phase_segments
0,0,222,data/chunk-000/episode_000000.parquet,93.0,99.21,69.45,16.75,6.8,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.785:-0.19625']",25.0,19.77,10.0,15.0,14.44,15.0,0.785,"{'vision_single': 0.229, 'temporal': 0.556}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
1,1,192,data/chunk-000/episode_000001.parquet,92.62,98.82,69.17,16.75,6.7,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.187:-0.29675']",25.0,19.47,10.0,15.0,14.35,15.0,1.187,"{'vision_single': 0.533, 'temporal': 0.654}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
2,0,202,data/chunk-000/episode_000002.parquet,92.92,99.13,69.39,16.75,6.78,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.867:-0.21675']",25.0,19.91,10.0,15.0,14.22,15.0,0.867,"{'vision_single': 0.09, 'temporal': 0.777}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
3,1,189,data/chunk-000/episode_000003.parquet,92.41,98.59,69.01,16.75,6.65,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.409:-0.35225']",25.0,19.43,10.0,15.0,14.16,15.0,1.409,"{'vision_single': 0.565, 'temporal': 0.844}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
4,0,212,data/chunk-000/episode_000004.parquet,92.62,98.81,69.17,16.75,6.7,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.187:-0.29675']",25.0,19.64,10.0,15.0,14.17,15.0,1.187,"{'vision_single': 0.36, 'temporal': 0.827}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
5,0,247,data/chunk-000/episode_000005.parquet,93.02,99.23,69.46,16.75,6.81,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.769:-0.19225']",25.0,19.91,10.0,15.0,14.32,15.0,0.769,"{'vision_single': 0.088, 'temporal': 0.681}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
6,1,202,data/chunk-000/episode_000006.parquet,92.38,98.56,68.99,16.75,6.64,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.437:-0.35925']",25.0,19.5,10.0,15.0,14.06,15.0,1.437,"{'vision_single': 0.499, 'temporal': 0.938}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
7,0,236,data/chunk-000/episode_000007.parquet,92.63,98.82,69.17,16.75,6.71,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.18:-0.295']",25.0,19.8,10.0,15.0,14.02,15.0,1.18,"{'vision_single': 0.197, 'temporal': 0.983}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
8,0,191,data/chunk-000/episode_000008.parquet,92.73,98.93,69.25,16.75,6.73,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.073:-0.26825']",25.0,19.62,10.0,15.0,14.31,15.0,1.073,"{'vision_single': 0.383, 'temporal': 0.69}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
9,0,195,data/chunk-000/episode_000009.parquet,93.0,99.21,69.45,16.75,6.8,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.795:-0.19875']",25.0,19.74,10.0,15.0,14.47,15.0,0.795,"{'vision_single': 0.261, 'temporal': 0.534}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
