episode_index,task_index,length,time_score,numeric_score,image_score,sync_score,quality_score_without_value,structural_findings,image_findings,sync_lag,sync_correlation,value_score_dataset,dataset_quality_score
0,0,222,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9105392263449364,13.5,98.5
1,1,192,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9621792027632499,13.5,98.5
2,0,202,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9242469437491809,13.5,98.5
3,1,189,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9661711107003489,13.5,98.5
4,0,212,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9447182578147343,13.5,98.5
5,0,247,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9050820635175411,13.5,98.5
6,1,202,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9383724053723621,13.5,98.5
7,0,236,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9322992992954208,13.5,98.5
8,0,191,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9375290216262361,13.5,98.5
9,0,195,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9522014521899601,13.5,98.5
10,1,196,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9600756424740181,13.5,98.5
11,0,202,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.930688309291889,13.5,98.5
12,1,172,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9517225673484064,13.5,98.5
13,0,304,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9230459249866562,13.5,98.5
14,0,268,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.8660401586113412,13.5,98.5
15,1,181,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9859890712060105,13.5,98.5
16,1,180,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9464481806707404,13.5,98.5
17,1,170,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9863219237812102,13.5,98.5
18,0,217,20.0,25.0,20.0,20.0,85.0,0,0,-1,0.9325301139755207,13.5,98.5
19,0,164,20.0,25.0,20.0,20.0,85.0,0,0,0,0.9441171430540138,13.5,98.5
